threshold,accuracy,precision,recall,sensitivity,specificity,f1,balanced_acc,auc,tp,tn,fp,fn
0.3,0.5,0.5,1.0,1.0,0.0,0.6666666666666666,0.5,0.9726,50,0,50,0
0.4,0.5,0.5,1.0,1.0,0.0,0.6666666666666666,0.5,0.9726,50,0,50,0
0.5,0.51,0.5050505050505051,1.0,1.0,0.02,0.6711409395973155,0.51,0.9726,50,1,49,0
0.6,0.51,0.5050505050505051,1.0,1.0,0.02,0.6711409395973155,0.51,0.9726,50,1,49,0
0.7,0.52,0.5102040816326531,1.0,1.0,0.04,0.6756756756756757,0.52,0.9726,50,2,48,0
0.8,0.55,0.5263157894736842,1.0,1.0,0.1,0.6896551724137931,0.55,0.9726,50,5,45,0
0.9,0.61,0.5617977528089888,1.0,1.0,0.22,0.7194244604316546,0.61,0.9726,50,11,39,0
